rank,video_id,title,view_count,duration,url
110,UQxNSV32Zkc,"Candace Owens vs Piers Morgan On Daily Wire, Israel, Kanye & More",2100000,5002,https://www.youtube.com/watch?v=UQxNSV32Zkc
111,wyINCPl58zQ,Israel-Hamas War: Piers Morgan vs Rabbi Shmuley And Cenk Uygur Going Head-to-Head In Fiery CLASH,2100000,998,https://www.youtube.com/watch?v=wyINCPl58zQ
112,TQ-Crh3rdQA,Piers Morgan vs Noam Chomsky | The Full Interview,2100000,2232,https://www.youtube.com/watch?v=TQ-Crh3rdQA
113,i7PX9gyZwW8,Cristiano Ronaldo On The Glazers And Why He Blanked Gary Neville,2100000,239,https://www.youtube.com/watch?v=i7PX9gyZwW8
114,0stGWpD6_j0,"""Calling Me Names Is NOT Gonna Stop Me!"" Tucker Carlson on Ted Cruz, Trump, Israel & 9/11",2000000,3931,https://www.youtube.com/watch?v=0stGWpD6_j0
115,5MpujQ_y3RU,“Pure Freakin’ EVIL” Piers Morgan & Dave Smith vs Israel Lawyer Natasha Hausdorff,2000000,4591,https://www.youtube.com/watch?v=5MpujQ_y3RU
116,m6vr1nlvxrE,“This Is A COUP!” Was Kamala Harris vs Trump Always The Plan?,2000000,3963,https://www.youtube.com/watch?v=m6vr1nlvxrE
117,iXnQrN2DJz4,“Is Trump The New Hitler? NO” Piers Morgan vs Mehdi Hasan | RNC Debate,2000000,4345,https://www.youtube.com/watch?v=iXnQrN2DJz4
118,IIHtjH6UkBk,"""It's TERRORISM"" George Galloway vs Piers Morgan on Israel-Hamas, Putin & More",2000000,4692,https://www.youtube.com/watch?v=IIHtjH6UkBk
119,27swSS0lqSs,"""Am I a Black Man If I Say I'm a Black Man?"" Piers Morgan Pride Debate",2000000,1872,https://www.youtube.com/watch?v=27swSS0lqSs
120,ISUynYz93zY,Can This Man PROVE That God Exists? Piers Morgan vs Stephen Meyer,2000000,1985,https://www.youtube.com/watch?v=ISUynYz93zY
121,uHqs15gOv4k,Norman Finkelstein vs Alan Dershowitz On Israel-Palestine War With Piers Morgan | The Full Debate,2000000,1600,https://www.youtube.com/watch?v=uHqs15gOv4k
122,Y-i2mJM4xm8,"Piers Morgan vs Vivek Ramaswamy on Israel-Hamas War: ""You Would Get American Hostages Only?""",2000000,5035,https://www.youtube.com/watch?v=Y-i2mJM4xm8
123,6islnl9EA64,"""Everybody At ITV Knew!"" Piers Morgan Reacts To Phillip Schofield Scandal",2000000,801,https://www.youtube.com/watch?v=6islnl9EA64
124,vIj4LUPlgKc,Piers Morgan vs Ron DeSantis | The Full UNCUT Interview,2000000,3917,https://www.youtube.com/watch?v=vIj4LUPlgKc
125,1XiE9BcNws8,PREVIEW: Cristiano Ronaldo says he feels 'BETRAYED' by Manchester United,2000000,115,https://www.youtube.com/watch?v=1XiE9BcNws8
126,nJFbqecGg7M,"""She LIED UNDER OATH!"" Sharon Osbourne Reacts To Amber Heard's LOSS v Johnny Depp",2000000,426,https://www.youtube.com/watch?v=nJFbqecGg7M
127,8CwuyoiVNAQ,“You Just Interviewed a TERRORIST!” Israel’s Occupation of West Bank | With Daniella Weiss,1900000,3768,https://www.youtube.com/watch?v=8CwuyoiVNAQ
128,42CM3zpY3Ic,"‘A Deal With The DEVIL’  Iran-Israel With Candace Owens, Glenn Beck & Bill O’Reilly",1900000,3952,https://www.youtube.com/watch?v=42CM3zpY3Ic
129,ImyTXp6Frn4,“COWARD!” Kanye West / Ye WALKS OUT On Piers Morgan Interview | With Sneako,1900000,1062,https://www.youtube.com/watch?v=ImyTXp6Frn4
130,Xz8OOo8wztA,“She Had The Hosts On Her Side!” Trump vs Harris Debate SUPER PANEL,1900000,4574,https://www.youtube.com/watch?v=Xz8OOo8wztA
131,vFIGqygzLOU,“I Want A Straight Month!” Piers Morgan Waves His STRAIGHT PRIDE Flag!,1900000,2107,https://www.youtube.com/watch?v=vFIGqygzLOU
132,GJDJySAJFwo,"""Flop After FLOP"" Woke Disney Debate With Nerdrotic And The Critical Drinker",1900000,1253,https://www.youtube.com/watch?v=GJDJySAJFwo
133,KX6d1q2dzQ4,Piers Morgan vs Steven Crowder | The Full Interview,1900000,1345,https://www.youtube.com/watch?v=KX6d1q2dzQ4
134,bWcHrjm7Ako,Piers Morgan vs Jordan Peterson | The Full Interview #2,1900000,3681,https://www.youtube.com/watch?v=bWcHrjm7Ako
135,QASReUZ3K8o,"Piers Morgan Challenges Alex Jones: ""You KNOW It's Nonsense!"" | The Full Debate",1900000,2249,https://www.youtube.com/watch?v=QASReUZ3K8o
136,HGmGZNIhAw0,BREAKING: Andrew Tate On Legal Win “Another Step Closer to Complete Exoneration!”,1800000,2501,https://www.youtube.com/watch?v=HGmGZNIhAw0
137,RXcfrfgSaBk,‘NEVER Seen Anything Like It’ Captain Steeeve on Air India ‘MURDER’ Theory,1800000,1708,https://www.youtube.com/watch?v=RXcfrfgSaBk
138,TlmgGGENVXE,"""This is NOT Our War!"" Israel Strikes Iran - Debate Feat Prof Marandi & Mehdi Hasan",1800000,4581,https://www.youtube.com/watch?v=TlmgGGENVXE
139,V8QFN8XmtMU,“You’re Killing Children DAILY” Piers Morgan BLASTS Israeli Ambassador | Feat Mustafa Barghouti,1800000,2937,https://www.youtube.com/watch?v=V8QFN8XmtMU
140,m2Zeen5KZTc,"""I HATE What He Stands For!"" | Eubank Jr vs Conor Benn | Face Off!",1800000,3841,https://www.youtube.com/watch?v=m2Zeen5KZTc
141,3oVQXO1quC4,“You Sound INSANE!” Cenk Uygur vs Andrew Wilson On Trump Pardons & More,1800000,2524,https://www.youtube.com/watch?v=3oVQXO1quC4
142,qz7S3ifgYtI,"“The Age of MAGA” Trump Sworn In At Inauguration, Biden Issues Pardons",1800000,4016,https://www.youtube.com/watch?v=qz7S3ifgYtI
143,3H4Tm6s0c0c,"""DESPICABLE!"" Heated Debate As Trump Picks RFK Jr, Tulsi Gabbard & Matt Gaetz",1800000,4964,https://www.youtube.com/watch?v=3H4Tm6s0c0c
144,bdtQRhu8IdM,Piers Morgan vs Robert F. Kennedy Jr. | The Full Interview,1800000,1221,https://www.youtube.com/watch?v=bdtQRhu8IdM
145,dYV5glYwCH8,Neil DeGrasse Tyson's Fascinating Interview With Piers Morgan,1800000,3043,https://www.youtube.com/watch?v=dYV5glYwCH8
146,kv5tXkmEMyo,"""Massive GRIFTER!"" Piers Morgan Grills Russell Brand On Allegations, Prison, 'Truth' & Religion",1700000,6617,https://www.youtube.com/watch?v=kv5tXkmEMyo
147,rYGVabrwthQ,"‘They Have His BLOOD on Their Hands!’ Charlie Kirk With Megyn Kelly, Jeffree Star & Nancy Mace",1700000,4298,https://www.youtube.com/watch?v=rYGVabrwthQ
148,uyzXA1HJlfw,“They’ll Do It Again and AGAIN!” Charlie Kirk Debate Causes Guest Storm-Out,1700000,4966,https://www.youtube.com/watch?v=uyzXA1HJlfw
149,J-v555ZnQVQ,“Do You Know How Many FAT Gazans I've Seen?” Bassem Youssef vs Jonathan Conricus,1700000,3036,https://www.youtube.com/watch?v=J-v555ZnQVQ
150,50CFOaCvDSw,'INCREDIBLE Claim' Giza Pyramids Discovery SPLITS Science World | Feat Miniminuteman,1700000,3630,https://www.youtube.com/watch?v=50CFOaCvDSw
